,Country,Region,Ladder,SD of Ladder,Positive affect,Negative affect,Social support,Freedom,Corruption,Generosity,"Log of GDP
per capita","Healthy life
expectancy"
0,Switzerland,Western Europe,6,11,44.0,21.0,13.0,11.0,7.0,16.0,8.0,4.0
1,Iceland,Western Europe,4,9,3.0,3.0,1.0,7.0,45.0,3.0,15.0,13.0
2,Denmark,Western Europe,2,13,24.0,26.0,4.0,6.0,3.0,22.0,14.0,23.0
3,Norway,Western Europe,3,8,16.0,29.0,3.0,3.0,8.0,11.0,7.0,12.0
4,Canada,North America,9,23,18.0,49.0,20.0,9.0,11.0,14.0,19.0,8.0
5,Finland,Western Europe,1,4,41.0,10.0,2.0,5.0,4.0,47.0,22.0,27.0
6,Netherlands,Western Europe,5,1,12.0,25.0,15.0,19.0,12.0,7.0,12.0,18.0
7,Sweden,Western Europe,7,18,34.0,8.0,25.0,10.0,6.0,17.0,13.0,17.0
8,New Zealand,Australia and New Zealand,8,15,22.0,12.0,5.0,8.0,5.0,8.0,26.0,14.0
9,Australia,Australia and New Zealand,11,26,47.0,37.0,7.0,17.0,13.0,6.0,18.0,10.0
10,Israel,Middle East and Northern Africa,13,14,104.0,69.0,38.0,93.0,74.0,24.0,31.0,11.0
11,Costa Rica,Latin America and Caribbean,12,62,4.0,87.0,42.0,16.0,58.0,75.0,67.0,28.0
12,Austria,Western Europe,10,10,64.0,24.0,31.0,26.0,19.0,25.0,16.0,15.0
13,Mexico,Latin America and Caribbean,23,76,6.0,40.0,67.0,71.0,87.0,120.0,57.0,46.0
14,United States,North America,19,49,35.0,70.0,37.0,62.0,42.0,12.0,10.0,39.0
15,Brazil,Latin America and Caribbean,32,116,69.0,105.0,43.0,84.0,71.0,108.0,70.0,72.0
16,Luxembourg,Western Europe,14,3,62.0,19.0,27.0,28.0,9.0,30.0,2.0,16.0
17,Ireland,Western Europe,16,34,33.0,32.0,6.0,33.0,10.0,9.0,6.0,20.0
18,Belgium,Western Europe,18,7,57.0,53.0,22.0,53.0,20.0,44.0,21.0,26.0
19,United Arab Emirates,Middle East and Northern Africa,21,65,43.0,56.0,72.0,4.0,,15.0,4.0,60.0
20,United Kingdom,Western Europe,15,16,52.0,42.0,9.0,63.0,15.0,4.0,23.0,24.0
21,Venezuela,Latin America and Caribbean,108,141,77.0,135.0,49.0,145.0,110.0,139.0,78.0,71.0
22,Singapore,Southeastern Asia,34,5,38.0,2.0,36.0,20.0,1.0,21.0,3.0,1.0
23,Panama,Latin America and Caribbean,31,121,7.0,48.0,41.0,32.0,104.0,88.0,51.0,33.0
24,Germany,Western Europe,17,17,65.0,30.0,39.0,44.0,17.0,19.0,17.0,25.0
25,Chile,Latin America and Caribbean,26,61,15.0,78.0,58.0,98.0,99.0,45.0,49.0,30.0
26,Qatar,Middle East and Northern Africa,29,86,,,,,,,1.0,43.0
27,France,Western Europe,24,19,56.0,66.0,32.0,69.0,21.0,68.0,25.0,5.0
28,Argentina,Latin America and Caribbean,47,97,28.0,93.0,46.0,54.0,109.0,123.0,55.0,37.0
29,Czech Republic,Central and Eastern Europe,20,20,74.0,22.0,24.0,58.0,121.0,117.0,32.0,31.0
30,Uruguay,Latin America and Caribbean,33,88,10.0,76.0,35.0,30.0,33.0,80.0,52.0,35.0
31,Colombia,Latin America and Caribbean,43,120,30.0,88.0,52.0,56.0,124.0,111.0,74.0,51.0
32,Thailand,Southeastern Asia,52,81,20.0,35.0,53.0,18.0,131.0,10.0,62.0,58.0
33,Saudi Arabia,Middle East and Northern Africa,28,93,49.0,82.0,62.0,68.0,,82.0,11.0,74.0
34,Spain,Western Europe,30,21,107.0,107.0,26.0,95.0,78.0,50.0,30.0,3.0
35,Malta,Western Europe,22,42,83.0,103.0,16.0,12.0,32.0,5.0,28.0,19.0
36,Taiwan,Eastern Asia,25,37,17.0,1.0,48.0,102.0,56.0,56.0,,
37,Kuwait,Middle East and Northern Africa,51,98,89.0,97.0,69.0,47.0,,42.0,5.0,70.0
38,Trinidad and Tobago,Latin America and Caribbean,39,89,14.0,52.0,29.0,51.0,141.0,41.0,38.0,93.0
39,El Salvador,Latin America and Caribbean,35,112,23.0,84.0,83.0,74.0,85.0,134.0,100.0,75.0
40,Guatemala,Latin America and Caribbean,27,136,8.0,85.0,78.0,25.0,82.0,78.0,99.0,85.0
41,Uzbekistan,Central and Eastern Europe,41,99,19.0,15.0,11.0,1.0,18.0,29.0,104.0,83.0
42,Slovakia,Central and Eastern Europe,38,39,53.0,47.0,21.0,108.0,142.0,70.0,35.0,38.0
43,Japan,Eastern Asia,58,43,73.0,14.0,50.0,64.0,39.0,92.0,24.0,2.0
44,South Korea,Eastern Asia,54,57,101.0,45.0,91.0,144.0,100.0,40.0,27.0,9.0
45,Ecuador,Latin America and Caribbean,50,113,11.0,113.0,71.0,42.0,68.0,95.0,86.0,45.0
46,Bahrain,Middle East and Northern Africa,37,83,39.0,83.0,59.0,24.0,,23.0,20.0,42.0
47,Italy,Western Europe,36,31,99.0,123.0,23.0,132.0,128.0,48.0,29.0,7.0
48,Bolivia,Latin America and Caribbean,61,71,70.0,138.0,93.0,35.0,91.0,104.0,101.0,94.0
49,Moldova,Central and Eastern Europe,71,45,133.0,67.0,65.0,128.0,148.0,86.0,109.0,86.0
50,Paraguay,Latin America and Caribbean,63,90,1.0,39.0,30.0,34.0,76.0,67.0,90.0,81.0
51,Kazakhstan,Central and Eastern Europe,60,40,81.0,5.0,19.0,80.0,57.0,57.0,47.0,88.0
52,Slovenia,Central and Eastern Europe,44,54,114.0,71.0,14.0,13.0,97.0,54.0,34.0,29.0
53,Lithuania,Central and Eastern Europe,42,55,138.0,41.0,17.0,122.0,113.0,124.0,36.0,62.0
54,Nicaragua,Latin America and Caribbean,45,133,31.0,125.0,66.0,70.0,43.0,71.0,108.0,53.0
55,Peru,Latin America and Caribbean,65,114,36.0,127.0,77.0,61.0,132.0,126.0,76.0,47.0
56,Belarus,Central and Eastern Europe,81,22,149.0,36.0,33.0,131.0,37.0,103.0,58.0,76.0
57,Poland,Central and Eastern Europe,40,28,76.0,33.0,44.0,52.0,108.0,77.0,41.0,36.0
58,Malaysia,Southeastern Asia,80,12,25.0,23.0,97.0,36.0,137.0,27.0,40.0,59.0
59,Croatia,Central and Eastern Europe,75,29,122.0,101.0,79.0,118.0,139.0,81.0,50.0,32.0
60,Libya,Middle East and Northern Africa,72,115,85.0,137.0,73.0,79.0,31.0,87.0,63.0,96.0
61,Russia,Central and Eastern Europe,68,64,96.0,9.0,40.0,107.0,127.0,101.0,45.0,89.0
62,Jamaica,Latin America and Caribbean,56,102,51.0,51.0,28.0,49.0,130.0,119.0,93.0,55.0
63,Cyprus,Western Europe,49,95,60.0,99.0,90.0,81.0,115.0,39.0,33.0,6.0
64,Algeria,Middle East and Northern Africa,88,56,113.0,106.0,101.0,149.0,46.0,128.0,72.0,78.0
65,Kosovo,Central and Eastern Europe,46,107,71.0,7.0,85.0,50.0,144.0,31.0,88.0,
66,Turkmenistan,Central and Eastern Europe,87,2,135.0,63.0,8.0,83.0,,33.0,60.0,100.0
67,Mauritius,Sub-Saharan Africa,57,94,55.0,16.0,54.0,40.0,96.0,37.0,53.0,73.0
